full_name,body_anonymized,is_resolvable,Yes Count,Total Count,Resolvable %,,Structured Resolvable,Unstructured
zerooctave/zerooctave-javascript-projects,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional context**
Add any other context about the problem here.


### Steps Followed✅
Check the box with [x] If you followed all the steps.

- [ ] Describe the bug
- [ ] To Reproduce
- [ ] Expected behavior
- [ ] Screenshots
- [ ] Additional context

### Code of Conduct✅
- [ ] I agree to follow this project's [Code of Conduct](<|URL|>).
- [ ] I checked the [current issues](<|URL|>) for duplicate problems.
- [ ] I have gone through project [README](<|URL|>).
",No,,,,,,
purnima143/kurakoo,"
## **Describe the bug**

- A clear and concise description of what the bug is.

## **Possible solution**

- Describe the solution you thought of.

## **Screenshots**

- If applicable, add screenshots to help explain your problem.

###### GSSOC21
###### Do you want to work on this issue - [Yes/No]
",No,,,,,,
friendsoftypo3/tt_address,"
--------------^ Click ""Preview"" for a nicer view!
We primarily use GitHub as an issue tracker; for usage and support questions, please check out these resources below. Thanks! 😁.

---

* Slack Chat: [<|URL|>](<|URL|>) in channel `#<|Repo_Name|>` (you can sign-up at [<|URL|>](<|URL|>) for an invite)
* StackOverflow: <|URL|> using the tag `tx-ttaddress`
",Yes,,,,,,
astropy/astropy,"
<!-- This comments are hidden when you submit the issue,
so you do not need to remove them! -->

<!-- Please be sure to check out our contributing guidelines,
<|URL|> .
Please be sure to check out our code of conduct,
<|URL|> . -->

<!-- Please have a search on our GitHub repository to see if a similar
issue has already been posted.
If a similar issue is closed, have a quick look to see if you are satisfied
by the resolution.
If not please go ahead and open an issue! -->

<!-- Please check that the development version still produces the same bug.
You can install development version with
pip install <|URL|>
command. -->

### Description
<!-- Provide a general description of the bug. -->

### Expected behavior
<!-- What did you expect to happen. -->

### Actual behavior
<!-- What actually happened. -->
<!-- Was the output confusing or poorly described? -->

### Steps to Reproduce
<!-- Ideally a code example could be provided so we can run it ourselves. -->
<!-- If you are pasting code, use triple backticks (```) around
your code snippet. -->
<!-- If necessary, sanitize your screen output to be pasted so you do not
reveal secrets like tokens and passwords. -->

1. [First Step]
2. [Second Step]
3. [and so on...]

```python
<|Code|>
```

### System Details
<!-- Even if you do not think this is necessary, it is useful information for the maintainers.
Please run the following snippet and paste the output below:
import platform; print(platform.platform())
import sys; print(""Python"", sys.version)
import numpy; print(""Numpy"", numpy.__version__)
import erfa; print(""pyerfa"", erfa.__version__)
import <|Repo_Name|>; print(""<|Repo_Name|>"", <|Repo_Name|>.__version__)
import scipy; print(""Scipy"", scipy.__version__)
import matplotlib; print(""Matplotlib"", matplotlib.__version__)
-->
",Yes,,,,,,
brainpad/cliboa,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",No,,,,,,
newrelic/infrastructure-agent,"
^^ Provide a general summary of the issue in the title above. ^^

## Description
Describe the problem you're encountering.
TIP: Do NOT share sensitive information, whether personal, proprietary, or otherwise!

## Expected Behavior
Tell us what you expected to happen.

## [Troubleshooting](<|URL|>) or [NR Diag](<|URL|>) results
Provide any other relevant log data.
TIP:  Scrub logs and diagnostic information for sensitive information

## Steps to Reproduce
Please be as specific as possible.
TIP:  Link a sample application that demonstrates the issue.

## Your Environment
Include as many relevant details about your environment as possible including the running version of New Relic software and any relevant configurations.

## Additional context
Add any other context about the problem here. For example, relevant community posts or support tickets.

## For Maintainers Only or Hero Triaging this bug
*Suggested Priority (P1,P2,P3,P4,P5):*
*Suggested T-Shirt size (S, M, L, XL, Unknown):*
",Yes,,,,,,
containers/podman-compose,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
pokeapi/pokeapi,"
<!--
Thanks for contributing to the PokéAPI project. To make sure we're effective, please check the following:

- Make sure your issue hasn't already been submitted on the issues tab. (It has search functionality!)
- If your issue is one of outdated API data, please note that we get our data from [veekun](<|URL|>). If they are not up to date either, please look for or create an issue there. Otherwise, feel free to create an issue here.
- Provide a clear description of the issue.
- Provide a clear description of the steps to reproduce.
- Provide a clear description of the expected behavior.

Thank you!
-->

Steps to Reproduce:

1.
2.
",Yes,,,,,,
decathlon/vitamin-web,"
<!--
Before submitting an issue, please consult our [documentation](<|URL|>).
Please make sure you are posting an issue pertaining to the Decathlon Design System.

Note that before opening an issue, you can chat maintainer of this project on channel
#<|Repo_Name|> in [Decathlon Design System's Slack(<|URL|>).

If you want to know how to contribute to this project, you can check our CONTRIBUTING file:
<|URL|>

If a section isn't adapted for your request, please remove it to avoid any unnecessary section.

Thanks!
-->

**Is your request related to a problem? Please describe.**
<!-- A clear and concise description of what the problem is. Ex. I'm always frustrated when [...] -->

**Describe the solution you'd like**
<!-- A clear and concise description of what you want to happen. -->

**Additional context**
<!-- Add any other context or screenshots about the feature request here. -->
",Yes,,,,,,
amplitude/amplitude-ios,"
<!--- Please fill out the template to the best of your ability -->

## Summary

<!-- Please describe what feature you would like added -->

## Motivations

<!-- Please explain what value this feature would add. E.g. what problem does it solve -->
",Yes,,,,,,
echoctf/echoctf.red,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",Yes,,,,,,
filosottile/mkcert,"
## Environment

* Operating system (including version):
* <|Repo_Name|> version (from `<|Repo_Name|> -version`):
* Server (where the certificate is loaded):
* Client (e.g. browser, CLI tool, or script):

## What you did

<!-- Including the `<|Repo_Name|> -install` step and how the certificate was generated and installed. -->

## What went wrong

<!-- Please include the precise error, like a terminal transcript or a browser screenshot. -->
",Yes,,,,,,
tooljet/tooljet,"
### What area of the codebase is to be refactored?

<!--
Provide a description of the codebase area to be refactored.
-->

(Write your answer here.)

### What are the potential advantages of this proposed refactoring?

<!--
Provide a description of the potential advantages of the proposed refactoring.
-->

(Describe the advantages here.)
",Yes,,,,,,
grafana/grafana,"
<!--
Please only use this template for submitting accessibility issues.

This is a new feature area for <|Repo_Name|> that we want to improve. We have long way to go
to really improve accessibility and would like your help to know where to start.
-->

**Steps to reproduce**:

**Actual Result**:

**Expected Result**

**Relevant WCAG Criteria:** [#.#.# WCAG Criterion](link to <|URL|>

**Environment**:
- <|Repo_Name|> version:
- Data source type & version:
- User OS & Browser:
- Others:
",Yes,,,,,,
